TEXT	A1	A2	GOLD
– Carneade!	SURPRISE	SURPRISE	SURPRISE
Chi era costui? – ruminava tra sé don Abbondio seduto sul suo seggiolone, in una stanza del piano superiore, con un libricciolo aperto davanti, quando Perpetua entrò a portargli l'imbasciata.	CURIOSITY,NEUTRAL	CURIOSITY,NEUTRAL	CURIOSITY,NEUTRAL
– Carneade! questo nome mi par bene d'averlo letto o sentito; doveva essere un uomo di studio, un letteratone del tempo antico: è un nome di quelli; ma chi diavolo era costui? –	CONFUSION,CURIOSITY	CONFUSION,CURIOSITY	CONFUSION,CURIOSITY
Tanto il pover'uomo era lontano da preveder che burrasca gli si addensasse sul capo!	NERVOUSNESS	NERVOUSNESS	NERVOUSNESS
Bisogna sapere che don Abbondio si dilettava di leggere un pochino ogni giorno; e un curato suo vicino, che aveva un po'di libreria, gli prestava un libro dopo l'altro, il primo che gli veniva alle mani.	NEUTRAL	NEUTRAL	NEUTRAL
Quello su cui meditava in quel momento don Abbondio, convalescente della febbre dello spavento, anzi più guarito (quanto alla febbre) che non volesse lasciar credere, era un panegirico in onore di san Carlo, detto con molta enfasi, e udito con molta ammirazione nel duomo di Milano, due anni prima.	NEUTRAL,ADMIRATION	NEUTRAL,ADMIRATION	NEUTRAL,ADMIRATION
Il santo v'era paragonato, per l'amore allo studio, ad Archimede; e fin qui don Abbondio non trovava inciampo; perché Archimede ne ha fatte di così curiose, ha fatto dir tanto di sé, che, per saperne qualche cosa, non c'è bisogno d'un'erudizione molto vasta.	NEUTRAL	NEUTRAL	NEUTRAL
Ma, dopo Archimede, l'oratore chiamava a paragone anche Carneade: e lì il lettore era rimasto arrenato.	CONFUSION	CONFUSION	CONFUSION
In quel momento entrò Perpetua ad annunziar la visita di Tonio.	NEUTRAL	NEUTRAL	NEUTRAL
«A quest'ora?» disse anche don Abbondio, com'era naturale.	SURPRISE	SURPRISE	SURPRISE
«Cosa vuole?	CURIOSITY	CURIOSITY	CURIOSITY
Non hanno discrezione: ma se non lo piglia al volo…»	ANNOYANCE,DISAPPROVAL	ANNOYANCE,DISAPPROVAL	ANNOYANCE,DISAPPROVAL
«Già: se non lo piglio ora, chi sa quando lo potrò pigliare!	ANNOYANCE	ANNOYANCE	ANNOYANCE
Fatelo venire… 	NEUTRAL	NEUTRAL	NEUTRAL
Ehi! ehi! siete poi ben sicura che sia proprio lui?»	NERVOUSNESS,FEAR	NERVOUSNESS,FEAR	NERVOUSNESS,FEAR
«Diavolo!» rispose Perpetua, e scese; aprì l'uscio, e disse: «dove siete?»	NEUTRAL	NEUTRAL	NEUTRAL
Tonio si fece vedere; e, nello stesso tempo, venne avanti anche Agnese, e salutò Perpetua per nome.	NEUTRAL	NEUTRAL	NEUTRAL
«Buona sera, Agnese,» disse Perpetua: «di dove si viene, a quest'ora?»	CURIOSITY	CURIOSITY	CURIOSITY
«Vengo da…» e nominò un paesetto vicino.	NEUTRAL	NEUTRAL	NEUTRAL
«E se sapeste…» continuò: «mi son fermata di più appunto in grazia vostra.»	CARING	CARING	CARING
«Oh perché?» domandò Perpetua; e voltandosi a' due fratelli, «entrate,» disse, «che vengo anch'io.»	CURIOSITY,NEUTRAL	CURIOSITY,NEUTRAL	CURIOSITY,NEUTRAL
«Perché,» rispose Agnese, «una donna di quelle che non sanno le cose, e voglion parlare… credereste? s'ostinava a dire che voi non vi siete maritata con Beppe Suolavecchia, né con Anselmo Lunghigna, perché non v'hanno voluta.	DISAPPROVAL	DISAPPROVAL	DISAPPROVAL
Io sostenevo che siete stata voi che gli avete rifiutati, l'uno e l'altro…»	NEUTRAL	NEUTRAL	NEUTRAL
«Sicuro.	NEUTRAL	APPROVAL	APPROVAL
Oh la bugiarda! la bugiardona!	ANGER	ANGER	ANGER
Chi è costei?»	CURIOSITY,ANGER	CURIOSITY,ANGER	CURIOSITY,ANGER
«Non me lo domandate, che non mi piace metter male.»	EMBARRASSMENT	EMBARRASSMENT	EMBARRASSMENT
«Me lo direte, me l'avete a dire: oh la bugiarda!»	ANGER	ANGER	ANGER
«Basta… ma non potete credere quanto mi sia dispiaciuto di non saper bene tutta la storia, per confonder colei.»	DISAPPOINTMENT	DISAPPOINTMENT,SADNESS	DISAPPOINTMENT
«Guardate se si può inventare, a questo modo!» esclamò di nuovo Perpetua; e riprese subito: «in quanto a Beppe, tutti sanno, e hanno potuto vedere…	ANGER,DISAPPROVAL	ANGER	DISAPPROVAL
Ehi, Tonio! accostate l'uscio, e salite pure, che vengo.»	NEUTRAL	NEUTRAL	NEUTRAL
Tonio, di dentro, rispose di sì; e Perpetua continuò la sua narrazione appassionata.	NEUTRAL	NEUTRAL	NEUTRAL
In faccia all'uscio di don Abbondio, s'apriva, tra due casipole, una stradetta, che, finite quelle, voltava in un campo.	NEUTRAL	NEUTRAL	NEUTRAL
Agnese vi s'avviò, come se volesse tirarsi alquanto in disparte, per parlar più liberamente; e Perpetua dietro.	NEUTRAL	NEUTRAL	NEUTRAL
Quand'ebbero voltato, e furono in luogo, donde non si poteva più veder ciò che accadesse davanti alla casa di don Abbondio, Agnese tossì forte.	NEUTRAL	NEUTRAL	NEUTRAL
Era il segnale: Renzo lo sentì, fece coraggio a Lucia, con una stretta di braccio; e tutt'e due, in punta di piedi, vennero avanti, rasentando il muro, zitti zitti; arrivarono all'uscio, lo spinsero adagino adagino; cheti e chinati, entraron nell'andito, dov'erano i due fratelli, ad aspettarli.	CARING,NERVOUSNESS	NERVOUSNESS	CARING,NERVOUSNESS
Renzo accostò di nuovo l'uscio pian piano; e tutt'e quattro su per le scale, non facendo rumore neppur per uno.	NEUTRAL,NERVOUSNESS	NERVOUSNESS	NERVOUSNESS
Giunti sul pianerottolo, i due fratelli s'avvicinarono all'uscio della stanza, ch'era di fianco alla scala; gli sposi si strinsero al muro.	NEUTRAL,NERVOUSNESS	NERVOUSNESS	NERVOUSNESS
«Deo gratias,» disse Tonio, a voce chiara.	NEUTRAL	NEUTRAL	NEUTRAL
«Tonio, eh?	NEUTRAL,RELIEF	SURPRISE	NEUTRAL
Entrate,» rispose la voce di dentro.	NEUTRAL	NEUTRAL	NEUTRAL
Il chiamato aprì l'uscio, appena quanto bastava per poter passar lui e il fratello, a un per volta.	NEUTRAL	NEUTRAL	NEUTRAL
La striscia di luce, che uscì d'improvviso per quella apertura, e si disegnò sul pavimento oscuro del pianerottolo, fece riscoter Lucia, come se fosse scoperta.	FEAR,NERVOUSNESS	FEAR,NERVOUSNESS	FEAR,NERVOUSNESS
Entrati i fratelli, Tonio si tirò dietro l'uscio: gli sposi rimasero immobili nelle tenebre, con l'orecchie tese, tenendo il fiato: il rumore più forte era il martellar che faceva il povero cuore di Lucia.	FEAR,NERVOUSNESS	FEAR,NERVOUSNESS	FEAR,NERVOUSNESS
Don Abbondio stava, come abbiam detto, sur una vecchia seggiola, ravvolto in una vecchia zimarra, con in capo una vecchia papalina, che gli faceva cornice intorno alla faccia, al lume scarso d'una piccola lucerna.	NEUTRAL	NEUTRAL	NEUTRAL
Due folte ciocche di capelli, che gli scappavano fuor della papalina, due folti sopraccigli, due folti baffi, un folto pizzo, tutti canuti, e sparsi su quella faccia bruna e rugosa, potevano assomigliarsi a cespugli coperti di neve, sporgenti da un dirupo, al chiaro di luna.	NEUTRAL	NEUTRAL	NEUTRAL
«Ah! ah!» fu il suo saluto, mentre si levava gli occhiali, e li riponeva nel libricciolo.	DISAPPROVAL,NEUTRAL	DISAPPROVAL	DISAPPROVAL
«Dirà il signor curato, che son venuto tardi,» disse Tonio, inchinandosi, come pure fece, ma più goffamente, Gervaso.	EMBARRASSMENT	EMBARRASSMENT	EMBARRASSMENT
«Sicuro ch'è tardi: tardi in tutte le maniere.	DISAPPROVAL	DISAPPROVAL	DISAPPROVAL
Lo sapete, che sono ammalato?»	GRIEF,DISAPPROVAL	DISAPPROVAL	DISAPPROVAL
«Oh! mi dispiace.»	SADNESS	SADNESS	SURPRISE,CARING
«L'avrete sentito dire; sono ammalato, e non so quando potrò lasciarmi vedere…	GRIEF,DISAPPROVAL	ANNOYANCE	DISAPPROVAL,ANNOYANCE
Ma perché vi siete condotto dietro quel… quel figliuolo?»	CURIOSITY,DISGUST	SURPRISE	DISGUST,SURPRISE
«Così per compagnia, signor curato.»	NEUTRAL	NEUTRAL	NEUTRAL
«Basta, vediamo.»	ANNOYANCE	ANNOYANCE	ANNOYANCE
«Son venticinque berlinghe nuove, di quelle col sant'Ambrogio a cavallo,» disse Tonio, levandosi un involtino di tasca.	NEUTRAL	NEUTRAL	NEUTRAL
«Vediamo,» replicò don Abbondio: e, preso l'involtino, si rimesse gli occhiali, l'aprì, cavò le berlinghe, le contò, le voltò, le rivoltò, le trovò senza difetto.	NEUTRAL	NEUTRAL	NEUTRAL
«Ora, signor curato, mi darà la collana della mia Tecla.»	NEUTRAL	NEUTRAL	NEUTRAL
«È giusto,» rispose don Abbondio; poi andò a un armadio, si levò una chiave di tasca, e, guardandosi intorno, come per tener lontani gli spettatori, aprì una parte di sportello, riempì l'apertura con la persona, mise dentro la testa, per guardare, e un braccio, per prender la collana; la prese, e, chiuso l'armadio, la consegnò a Tonio, dicendo: «va bene?»	NEUTRAL,NERVOUSNESS	APPROVAL	APPROVAL,NERVOUSNESS
«Ora,» disse Tonio, «si contenti di mettere un po' di nero sul bianco.»	NEUTRAL	NEUTRAL	NEUTRAL
«Anche questa!» disse don Abbondio: «le sanno tutte.	ANNOYANCE,DISAPPROVAL	SURPRISE,DISAPPROVAL	DISAPPROVAL,ANNOYANCE
Ih! com'è divenuto sospettoso il mondo!	DISAPPROVAL	DISAPPROVAL	DISAPPROVAL
Non vi fidate di me?»	SURPRISE,DISAPPOINTMENT	DISAPPROVAL	DISAPPOINTMENT
«Come, signor curato! s'io mi fido?	RELIEF	SURPRISE	SURPRISE
Lei mi fa torto.	DISAPPOINTMENT	ANNOYANCE	DISAPPOINTMENT
Ma siccome il mio nome è sul suo libraccio, dalla parte del debito… dunque, giacché ha già avuto l'incomodo di scrivere una volta, così… dalla vita alla morte…»	EMBARRASSMENT,CONFUSION,NERVOUSNESS	NEUTRAL	EMBARRASSMENT,NERVOUSNESS
«Bene bene,» interruppe don Abbondio, e brontolando, tirò a sé una cassetta del tavolino, levò fuori carta, penna e calamaio, e si mise a scrivere, ripetendo a viva voce le parole, di mano in mano che gli uscivan dalla penna.	ANNOYANCE,NEUTRAL	APPROVAL,NEUTRAL	ANNOYANCE,APPROVAL,NEUTRAL
Frattanto Tonio e, a un suo cenno, Gervaso, si piantaron ritti davanti al tavolino, in maniera d'impedire allo scrivente la vista dell'uscio; e, come per ozio, andavano stropicciando, co' piedi, il pavimento, per dar segno a quei ch'erano fuori, d'entrare, e per confondere nello stesso tempo il rumore delle loro pedate.	NEUTRAL	NEUTRAL	NEUTRAL
Don Abbondio, immerso nella sua scrittura, non badava ad altro.	NEUTRAL	NEUTRAL	NEUTRAL
Allo stropiccìo de' quattro piedi, Renzo prese un braccio di Lucia, lo strinse, per darle coraggio, e si mosse, tirandosela dietro tutta tremante, che da sé non vi sarebbe potuta venire.	CARING,FEAR	FEAR,NERVOUSNESS	CARING,FEAR
Entraron pian piano, in punta di piedi, rattenendo il respiro; e si nascosero dietro i due fratelli.	NEUTRAL,NERVOUSNESS	NERVOUSNESS	NERVOUSNESS
Intanto don Abbondio, finito di scrivere, rilesse attentamente, senza alzar gli occhi dalla carta; la piegò in quattro, dicendo: «ora, sarete contento?» e, levatosi con una mano gli occhiali dal naso, la porse con l'altra a Tonio, alzando il viso.	NEUTRAL,ANNOYANCE	NEUTRAL,ANNOYANCE	NEUTRAL,ANNOYANCE
Tonio, allungando la mano per prender la carta, si ritirò da una parte; Gervaso, a un suo cenno, dall'altra; e, nel mezzo, come al dividersi d'una scena, apparvero Renzo e Lucia.	NEUTRAL,SURPRISE	NEUTRAL	NEUTRAL
Don Abbondio, vide confusamente, poi vide chiaro, si spaventò, si stupì, s'infuriò, pensò, prese una risoluzione: tutto questo nel tempo che Renzo mise a proferire le parole: «signor curato, in presenza di questi testimoni, quest'è mia moglie.»	CONFUSION,ANGER,FEAR	CONFUSION,ANGER,FEAR	CONFUSION,ANGER,FEAR
Le sue labbra non erano ancora tornate al posto, che don Abbondio, lasciando cader la carta, aveva già afferrata e alzata, con la mancina, la lucerna, ghermito, con la diritta, il tappeto del tavolino, e tiratolo a sé, con furia, buttando in terra libro, carta, calamaio e polverino; e, balzando tra la seggiola e il tavolino, s'era avvicinato a Lucia.	ANGER	ANGER	ANGER
La poveretta, con quella sua voce soave, e allora tutta tremante, aveva appena potuto proferire: «e questo…» che don Abbondio le aveva buttato sgarbatamente il tappeto sulla testa e sul viso, per impedirle di pronunziare intera la formola.	ANGER,FEAR	ANGER,FEAR	ANGER,FEAR
E subito, lasciata cader la lucerna che teneva nell'altra mano, s'aiutò anche con quella a imbacuccarla col tappeto, che quasi la soffogava; e intanto gridava quanto n'aveva in canna: «Perpetua!	CONFUSION,ANGER,FEAR	FEAR	CONFUSION,ANGER,FEAR
Perpetua! tradimento! aiuto!»	FEAR,ANGER,CONFUSION	FEAR	ANGER,FEAR
Il lucignolo, che moriva sul pavimento, mandava una luce languida e saltellante sopra Lucia, la quale, affatto smarrita, non tentava neppure di svolgersi, e poteva parere una statua abbozzata in creta, sulla quale l'artefice ha gettato un umido panno.	FEAR,CONFUSION	FEAR	CONFUSION,FEAR
Cessata ogni luce, don Abbondio lasciò la poveretta, e andò cercando a tastoni l'uscio che metteva a una stanza più interna; lo trovò, entrò in quella, si chiuse dentro, gridando tuttavia: «Perpetua! tradimento! aiuto! fuori di questa casa! fuori di questa casa!»	CONFUSION,FEAR,ANGER	FEAR	CONFUSION,FEAR,ANGER
Nell'altra stanza, tutto era confusione: Renzo, cercando di fermare il curato, e remando con le mani, come se facesse a mosca cieca, era arrivato all'uscio, e picchiava, gridando: «apra, apra; non faccia schiamazzo».	CONFUSION,NERVOUSNESS,FEAR	CONFUSION	CONFUSION,NERVOUSNESS
Lucia chiamava Renzo, con voce fioca, e diceva, pregando: «andiamo, andiamo, per l'amor di Dio».	DESIRE,FEAR	FEAR	DESIRE,FEAR
Tonio, carpone, andava spazzando con le mani il pavimento, per veder di raccapezzare la sua ricevuta.	NERVOUSNESS	NEUTRAL	NERVOUSNESS
Gervaso, spiritato, gridava e saltellava, cercando l'uscio di scala, per uscire a salvamento.	FEAR	FEAR	FEAR
In mezzo a questo serra serra, non possiam lasciar di fermarci un momento a fare una riflessione.	NEUTRAL	NEUTRAL	NEUTRAL
Renzo, che strepitava di notte in casa altrui, che vi s'era introdotto di soppiatto, e teneva il padrone stesso assediato in una stanza, ha tutta l'apparenza d'un oppressore; eppure, alla fin de' fatti, era l'oppresso.	DISAPPOINTMENT	DISAPPROVAL	DISAPPOINTMENT
Don Abbondio, sorpreso, messo in fuga, spaventato, mentre attendeva tranquillamente a' fatti suoi, parrebbe la vittima; eppure, in realtà, era lui che faceva un sopruso.	DISAPPOINTMENT	DISAPPROVAL	DISAPPOINTMENT
Così va spesso il mondo… voglio dire, così andava nel secolo decimo settimo.	DISAPPOINTMENT,SADNESS	DISAPPROVAL	DISAPPOINTMENT
L'assediato, vedendo che il nemico non dava segno di ritirarsi, aprì una finestra che guardava sulla piazza della chiesa, e si diede a gridare: «aiuto! aiuto!»	FEAR	FEAR	FEAR
Era il più bel chiaro di luna; l'ombra della chiesa, e più in fuori l'ombra lunga ed acuta del campanile, si stendeva bruna e spiccata sul piano erboso e lucente della piazza: ogni oggetto si poteva distinguere, quasi come di giorno.	NEUTRAL,ADMIRATION	NEUTRAL	NEUTRAL
Ma, fin dove arrivava lo sguardo, non appariva indizio di persona vivente.	NEUTRAL	NEUTRAL	NEUTRAL
Contiguo però al muro laterale della chiesa, e appunto dal lato che rispondeva verso la casa parrocchiale, era un piccolo abituro, un bugigattolo, dove dormiva il sagrestano.	NEUTRAL	NEUTRAL	NEUTRAL
Fu questo riscosso da quel disordinato grido, fece un salto, scese il letto in furia, aprì l'impannata d'una sua finestrina, mise fuori la testa, con gli occhi tra' peli, e disse: «cosa c'è?»	CONFUSION,SURPRISE,CURIOSITY	FEAR	CONFUSION,SURPRISE
«Correte, Ambrogio! aiuto! gente in casa,» gridò verso lui don Abbondio.	FEAR	FEAR	FEAR
«Vengo subito,» rispose quello; tirò indietro la testa, richiuse la sua impannata, e, quantunque mezzo tra 'l sonno, e più che mezzo sbigottito, trovò su due piedi un espediente per dar più aiuto di quello che gli si chiedeva, senza mettersi lui nel tafferuglio, quale si fosse.	NEUTRAL,CONFUSION,CARING	NERVOUSNESS	CARING,CONFUSION
Dà di piglio alle brache, che teneva sul letto; se le caccia sotto il braccio, come un cappello di gala, e giù balzelloni per una scaletta di legno; corre al campanile, afferra la corda della più grossa di due campanette che c'erano, e suona a martello.	NEUTRAL	NEUTRAL	NEUTRAL
Ton, ton, ton, ton: i contadini balzano a sedere sul letto; i giovinetti sdraiati sul fenile, tendon l'orecchio, si rizzano.	SURPRISE,NERVOUSNESS	FEAR,SURPRISE	SURPRISE,NERVOUSNESS
«Cos'è?	SURPRISE,CURIOSITY	SURPRISE	SURPRISE,CURIOSITY
Cos'è?	SURPRISE,CURIOSITY	SURPRISE	SURPRISE,CURIOSITY
Campana a martello! fuoco? ladri? banditi?»	SURPRISE,NERVOUSNESS	SURPRISE,FEAR	SURPRISE,NERVOUSNESS
Molte donne consigliano, pregano i mariti, di non moversi, di lasciar correre gli altri: alcuni s'alzano, e vanno alla finestra: i poltroni, come se si arrendessero alle preghiere, ritornan sotto: i più curiosi e più bravi scendono a prender le forche e gli schioppi, per correre al rumore: altri stanno a vedere.	FEAR,DISAPPROVAL,APPROVAL	CONFUSION,NERVOUSNESS	CONFUSION,NERVOUSNESS
Ma, prima che quelli fossero all'ordine, prima anzi che fosser ben desti, il rumore era giunto agli orecchi d'altre persone che vegliavano, non lontano, ritte e vestite: i bravi in un luogo, Agnese e Perpetua in un altro.	NEUTRAL	NEUTRAL	NEUTRAL
